Layer,Name,GEOID,ADI_2023
,,,"Area Deprivation Index, 2023"
Census tract,Tract 5101,17031510100,83.0
Census tract,Tract 5102,17031510200,85.33333333333333
Census tract,Tract 5103,17031510300,92.25
Census tract,Tract 5201,17031520100,83.0
Census tract,Tract 5202,17031520200,89.0
Census tract,Tract 5203,17031520300,80.25
Census tract,Tract 5204,17031520400,79.25
Census tract,Tract 5205,17031520500,62.0
Census tract,Tract 5206,17031520600,71.0
Census tract,Tract 5301,17031530100,96.0
Census tract,Tract 5302,17031530200,89.0
Census tract,Tract 5303,17031530300,78.0
Census tract,Tract 5304,17031530400,74.5
Census tract,Tract 5305.01,17031530501,85.5
Census tract,Tract 5305.02,17031530502,72.0
Census tract,Tract 5305.03,17031530503,83.66666666666667
Census tract,Tract 5306,17031530600,86.0
Census tract,Tract 5401.01,17031540101,96.0
Census tract,Tract 5401.02,17031540102,95.0
Census tract,Tract 5501,17031550100,72.0
Census tract,Tract 5502,17031550200,71.0
Census tract,Tract 5601,17031560100,54.0
Census tract,Tract 5602,17031560200,57.0
Census tract,Tract 5603,17031560300,60.5
Census tract,Tract 5604,17031560400,57.0
Census tract,Tract 5607,17031560700,45.5
Census tract,Tract 5608,17031560800,42.8
Census tract,Tract 5609,17031560900,41.0
Census tract,Tract 5610,17031561000,45.833333333333336
Census tract,Tract 5611,17031561100,42.333333333333336
Census tract,Tract 5701,17031570100,59.0
Census tract,Tract 5702,17031570200,50.0
Census tract,Tract 5703,17031570300,57.75
Census tract,Tract 5704,17031570400,62.5
Census tract,Tract 5705,17031570500,50.5
Census tract,Tract 5801,17031580100,44.5
Census tract,Tract 5802,17031580200,61.5
Census tract,Tract 5803,17031580300,58.0
Census tract,Tract 5804,17031580400,62.25
Census tract,Tract 5805.01,17031580501,64.25
Census tract,Tract 5805.02,17031580502,69.66666666666667
Census tract,Tract 5806,17031580600,59.5
Census tract,Tract 5807,17031580700,64.33333333333333
Census tract,Tract 5808,17031580800,62.0
Census tract,Tract 5905,17031590500,46.0
Census tract,Tract 5906,17031590600,56.0
Census tract,Tract 5907,17031590700,46.0
Census tract,Tract 6004,17031600400,41.0
Census tract,Tract 6006,17031600600,37.5
Census tract,Tract 6007,17031600700,39.5
Census tract,Tract 6009,17031600900,40.75
Census tract,Tract 6103,17031610300,77.33333333333333
Census tract,Tract 6104,17031610400,85.0
Census tract,Tract 6108,17031610800,39.0
Census tract,Tract 6112,17031611200,73.5
Census tract,Tract 6113,17031611300,79.0
Census tract,Tract 6114,17031611400,91.66666666666669
Census tract,Tract 6115,17031611500,68.0
Census tract,Tract 6116,17031611600,78.0
Census tract,Tract 6117,17031611700,82.0
Census tract,Tract 6118,17031611800,85.0
Census tract,Tract 6119,17031611900,95.5
Census tract,Tract 6120,17031612000,87.5
Census tract,Tract 6121,17031612100,85.0
Census tract,Tract 6122,17031612200,75.0
Census tract,Tract 6201,17031620100,54.333333333333336
Census tract,Tract 6202,17031620200,55.5
Census tract,Tract 6203,17031620300,58.0
Census tract,Tract 6204,17031620400,61.0
Census tract,Tract 6303,17031630300,65.0
Census tract,Tract 6304,17031630400,63.25
Census tract,Tract 6305,17031630500,65.5
Census tract,Tract 6306,17031630600,74.0
Census tract,Tract 6308,17031630800,55.5
Census tract,Tract 6309,17031630900,68.33333333333333
Census tract,Tract 6401,17031640100,52.0
Census tract,Tract 6403,17031640300,48.166666666666664
Census tract,Tract 6404,17031640400,44.0
Census tract,Tract 6405,17031640500,47.5
Census tract,Tract 6406,17031640600,49.0
Census tract,Tract 6407,17031640700,51.75
Census tract,Tract 6408,17031640800,63.0
Census tract,Tract 6501,17031650100,61.25
Census tract,Tract 6502,17031650200,48.666666666666664
Census tract,Tract 6503.01,17031650301,58.25
Census tract,Tract 6503.02,17031650302,61.0
Census tract,Tract 6504,17031650400,55.0
Census tract,Tract 6505,17031650500,65.66666666666667
Census tract,Tract 6603.01,17031660301,83.0
Census tract,Tract 6603.02,17031660302,64.0
Census tract,Tract 6604,17031660400,59.0
Census tract,Tract 6605,17031660500,64.5
Census tract,Tract 6606,17031660600,70.8
Census tract,Tract 6607,17031660700,82.5
Census tract,Tract 6608,17031660800,73.0
Census tract,Tract 6609,17031660900,61.666666666666664
Census tract,Tract 6610,17031661000,70.0
Census tract,Tract 6611,17031661100,62.6
Census tract,Tract 6701,17031670100,69.0
Census tract,Tract 6702,17031670200,53.0
Census tract,Tract 6703,17031670300,63.0
Census tract,Tract 6704,17031670400,79.0
Census tract,Tract 6705,17031670500,93.0
Census tract,Tract 6706,17031670600,85.0
Census tract,Tract 6707,17031670700,86.0
Census tract,Tract 6708,17031670800,81.5
Census tract,Tract 6709,17031670900,85.5
Census tract,Tract 6711,17031671100,97.0
Census tract,Tract 6712,17031671200,95.0
Census tract,Tract 6713,17031671300,96.0
Census tract,Tract 6714,17031671400,79.5
Census tract,Tract 6715,17031671500,91.0
Census tract,Tract 6716,17031671600,58.0
