OBJECTID,SgmtEnd1,SgmtEnd2,Street,Owner,Manager,Miles,FacName,Sub_System,TrailType,TrailSurfa,Editor,Edtdate,Muni,TrailWdth,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Status,ShapeSTLength
77,,,,,Glenview,0.00734182,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{35C45E0B-D5D8-42AB-8D1C-228082B74349},Existing,38.7648330682914
78,,,,,Glenview,0.16990888,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{A51C246A-F88B-4997-A137-DC3C2B3BA979},Existing,897.118893929012
79,,,,,Glenview,0.01018179,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{24893DC7-7CC2-4FC2-A38B-A4BCC811AE2F},Existing,53.7598537415468
80,,,,,Glenview,0.62947456,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{96A375BB-F98D-40F9-BD19-C97CB3925A28},Existing,3323.62568937868
81,,,,,Glenview,0.01170575,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{C8ED4741-71B1-4F36-970D-699A9FFEF6D7},Existing,61.8063751400543
82,,,,,Glenview,0.00385878,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{F4CA448E-98DC-4893-940D-A7563E22D980},Existing,20.374375
83,,,,,Glenview,0.51897453,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{603520E3-5A3C-472E-84A5-55EA97A2E0D7},Existing,2740.18554348527
84,,,,,Glenview,0.02424265,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{73C4A40C-A2DE-4623-8B8D-77C96B294843},Existing,128.001172615845
85,,,,,Glenview,0.15032456,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{6F316F10-9018-4AEA-9184-6F8DE5185E13},Existing,793.713658357485
86,,,,,Glenview,0.00618886,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{8A7C0800-EC00-4E4E-8C60-6E933F9A8DFF},Existing,32.6771986086055
87,,,,,Glenview,0.46096338,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{A24D224B-2C5C-4C00-AC13-1D87E253E5C0},Existing,2433.88664639458
