SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
520.0,CHICAGO,LECLAIRE,EB,NS,66,,CHICAGO,Chicago & Leclaire,17031251600
6447.0,WENTWORTH,70TH STREET,NB,NS,24,,CHICAGO,Wentworth & 70th Street,17031690300
6550.0,VINCENNES,78TH STREET,SB,NS,24,,CHICAGO,Vincennes & 78th Street,17031691200
7733.0,PERSHING,KING DRIVE,EB,NS,39,,CHICAGO,Pershing & King Drive,17031380300
12459.0,119TH STREET,WENTWORTH,EB,NS,119,,CHICAGO,119th Street & Wentworth,17031530500
902.0,NORTH AVENUE,ASHLAND,EB,NS,72,,CHICAGO,North Ave & Ashland,17031241500
3488.0,95TH STREET,LEAVITT,EB,NS,95,,CHICAGO,95th Street & Leavitt,17031720300
9675.0,LAWRENCE,AUSTIN,EB,FS,"81W,91",,CHICAGO,Lawrence & Austin/Mason,17031150400
11314.0,MONTROSE,MENARD,EB,NS,78,,CHICAGO,Montrose & Menard,17031150400
15413.0,35TH STREET,WALLACE,EB,FS,35,,CHICAGO,35th Street & Wallace,17031601500
12402.0,111TH STREET,BELL,EB,NS,112,,CHICAGO,111th Street & Bell,17031750500
12073.0,LUNT,WESTERN,WB,NS,96,,CHICAGO,Lunt & Western,17031020400
6361.0,CLINTON,JACKSON,SB,NS,"7,60,126,157",N60,CHICAGO,Clinton & Jackson,17031281900
14203.0,OGDEN,TAYLOR,NEB,NS,12,,CHICAGO,Ogden & Taylor,17031283000
14806.0,FOSTER,KOSTNER,WB,FT,92,,CHICAGO,Foster & Kostner,17031130200
12489.0,ADDISON,MELVINA,EB,NS,152,,CHICAGO,Addison & Melvina,17031171100
11279.0,KIMBALL,MONTROSE,NB,NS,82,,CHICAGO,Kimball & Montrose,17031160500
14578.0,WESTERN,59TH STREET,SB,FS,"49,X49",N49,CHICAGO,Western & 59th Street,17031660200
17063.0,ASHLAND,TAYLOR,SB,FS,"9,X9",N9,CHICAGO,Ashland & Taylor,17031283000
5020.0,WELLS,GRAND,SB,NS,"37,125",,CHICAGO,Wells & Grand,17031081800
1065.0,LAKE SHORE,CORNELIA,SB,FS,"135,146,151",,CHICAGO,Lake Shore & Cornelia,17031061900
11467.0,RIDGE,BROADWAY/BRYN MAWR,SEB,NS,84,,CHICAGO,Ridge & Broadway/Bryn Mawr,17031030500
8233.0,WESTERN,WARREN,SB,NS,49,N49,CHICAGO,Western & Warren,17031280700
2256.0,KING DRIVE,87TH STREET,SB,FS,3,,CHICAGO,King Drive & 87th Street,17031440600
690.0,GRAND,LECLAIRE/ARMITAGE,EB,NS,65,,CHICAGO,Grand & Leclaire/Armitage,17031191100
9281.0,BELMONT,PAULINA,EB,NS,77,N77,CHICAGO,Belmont & Paulina,17031062600
15780.0,CERMAK,ROCKWELL,EB,FS,21,,CHICAGO,Cermak & Rockwell,17031301200
12123.0,103RD STREET,HAMLIN,EB,NS,103,,CHICAGO,103rd Street & Hamlin,17031740200
11354.0,MONTROSE,BROWN LINE STATION,EB,MB,78,,CHICAGO,Montrose Brown Line Station,17031050100
8158.0,47TH STREET,HOYNE,EB,NS,"47,48",,CHICAGO,47th Street & Hoyne,17031611500
14487.0,HALSTED,TAYLOR,NB,FS,8,,CHICAGO,Halsted & Taylor,17031283500
14581.0,WESTERN,NORTH AVENUE,SB,FS,"49,X49",N49,CHICAGO,Western & North Ave,17031241100
8837.0,DAMEN,WELLINGTON,SB,NS,50,,CHICAGO,Damen & Wellington,17031051400
4489.0,ARCHER,WESTERN AVENUE,SWB,NS,"39,62",N62,CHICAGO,Archer & Western Avenue,17031590400
14858.0,STATE,59TH STREET,SB,FS,29,,CHICAGO,State & 59th Street,17031400600
4285.0,CALIFORNIA,59TH STREET,SB,NS,94,,CHICAGO,California & 59th Street,17031630800
15674.0,HOMAN,ROOSEVELT,SB,FS,82,,CHICAGO,Homan & Roosevelt,17031291200
15038.0,HIGGINS,AUSTIN,NWB,FS,88,,CHICAGO,Higgins & Austin,17031110300
6585.0,MICHIGAN lower,ILLINOIS,NB,NS,"120,121",,CHICAGO,Michigan (Lower) & Illinois,17031081400
6583.0,MICHIGAN lower,E. WACKER,NB,NS,"120,121",,CHICAGO,Michigan (Lower) & E. Wacker,17031320100
6586.0,MICHIGAN lower,ILLINOIS,SB,NS,"120,121",,CHICAGO,Michigan (Lower) & Illinois,17031081500
6584.0,MICHIGAN lower,HUBBARD,NB,FS,"120,121",,CHICAGO,Michigan (Lower) & Hubbard,17031081400
17442.0,WENTWORTH,ARCHER,SB,FS,24,,CHICAGO,Wentworth & Archer,17031340100
6672.0,OGDEN,SPAULDING,NEB,NS,157,,CHICAGO,Ogden & Spaulding,17031291900
17469.0,BELMONT,LAMON,EB,FS,77,N77,CHICAGO,Belmont & Lamon,17031190200
17470.0,BELMONT,KENOSHA,EB,NS,77,N77,CHICAGO,Belmont & Kenosha,17031210400
17472.0,HALSTED,79TH STREET,EB,TERM,"8,8A",,CHICAGO,Halsted & 79th Street Terminal,17031710900
12057.0,MORSE,PAULINA,EB,MT,96,,CHICAGO,Morse & Paulina,17031010700
17479.0,BELMONT,SACRAMENTO,WB,FS,77,N77,CHICAGO,Belmont & Sacramento,17031210100
17483.0,BELMONT,SAYRE,WB,FS,77,N77,CHICAGO,Belmont & Sayre,17031171000
1838.0,CLARK,FULLERTON,SB,NS,"22,36",N22,CHICAGO,Clark & Fullerton,17031070100
2172.0,31ST STREET,KING DRIVE,EB,FS,31,,CHICAGO,31st Street & King Drive,17031351000
