GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income
1400000US17031160502,Census Tract 1605.02; Cook County; Illinois,206,2627,9.0,5.2,442200,1411,114719,18.5,2314,,51.3,0.0,11.2,3.0,5.1,50.8,-0.133
1400000US17031160601,Census Tract 1606.01; Cook County; Illinois,81,2257,6.9,0.0,369000,1560,75536,11.2,2477,,47.7,0.0,15.0,3.4,2.0,63.3,-0.192
1400000US17031160602,Census Tract 1606.02; Cook County; Illinois,86,2395,3.9,12.7,408600,1422,99531,15.2,2420,,57.8,0.0,9.5,0.0,0.0,54.8,-0.03
1400000US17031160700,Census Tract 1607; Cook County; Illinois,637,3904,6.8,7.1,579500,1376,93750,8.5,3315,,48.2,0.0,13.5,0.0,5.4,54.7,0.034
1400000US17031160800,Census Tract 1608; Cook County; Illinois,363,2765,9.7,0.6,543800,1570,87676,20.1,2897,,47.8,0.0,6.1,0.0,4.0,56.3,0.098
1400000US17031160900,Census Tract 1609; Cook County; Illinois,24,1696,6.8,4.7,478900,1215,109598,13.8,3611,,66.7,0.0,11.2,0.0,1.2,52.6,0.033
1400000US17031161000,Census Tract 1610; Cook County; Illinois,3,1551,7.5,3.7,605600,1709,109524,4.1,2934,,47.7,0.0,8.1,0.0,1.3,52.5,-0.052
1400000US17031161100,Census Tract 1611; Cook County; Illinois,36,1359,6.7,5.3,633200,1716,149722,6.1,3372,,66.0,0.9,5.4,0.6,0.0,55.7,-0.08
1400000US17031161200,Census Tract 1612; Cook County; Illinois,135,1688,4.4,26.7,435500,1377,80132,27.2,2728,,57.5,0.0,21.3,0.0,6.1,62.8,-0.091
1400000US17031161300,Census Tract 1613; Cook County; Illinois,86,2477,6.4,16.7,443600,1254,59353,19.9,2906,,35.3,0.0,28.2,1.2,2.4,42.7,-0.226
1400000US17031170100,Census Tract 1701; Cook County; Illinois,78,1618,1.4,15.6,263600,2250,51944,21.3,1653,,88.3,0.0,12.4,0.8,1.1,47.9,-0.037
1400000US17031170200,Census Tract 1702; Cook County; Illinois,89,2273,1.1,1.6,332600,1430,110602,4.6,2243,,85.3,0.0,7.5,1.0,8.2,54.3,0.078
1400000US17031170300,Census Tract 1703; Cook County; Illinois,251,2985,3.9,2.7,357900,1411,82203,5.9,2411,,74.3,0.0,5.2,0.8,3.8,43.9,-0.08
1400000US17031170400,Census Tract 1704; Cook County; Illinois,222,2579,6.2,4.5,343500,1188,110800,8.6,1923,,94.6,0.0,8.8,1.4,1.9,57.6,0.067
1400000US17031170500,Census Tract 1705; Cook County; Illinois,158,3262,5.2,2.7,350100,1478,85250,8.7,2376,,74.1,1.3,3.0,0.0,0.0,51.3,-0.175
1400000US17031170600,Census Tract 1706; Cook County; Illinois,100,1604,8.1,13.5,338900,1488,81004,16.3,2205,,87.6,0.0,4.9,0.0,1.3,45.7,-0.014
1400000US17031170700,Census Tract 1707; Cook County; Illinois,58,2108,3.4,1.7,412400,1352,90611,8.4,2314,,78.6,2.4,3.5,0.0,3.9,44.7,0.282
