census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store,Tract_Area_SqMi,Population
17031130300,32.42646964885647,94.2357,350.1995,23.608,3.9832,7.1917,13.771,3.935,77.5133,5.902,0.2781,5083
17031140100,27.17149782677179,16.1663,448.6429,20.208,15.3056,17.8571,23.095,8.661,49.9423,13.2794,0.112,3464
17031140200,25.35526808985701,9.5989,159.4915,8.57,8.0905,13.0208,17.141,5.142,68.735,16.1124,0.1536,5834
17031140301,28.03932829017959,20.7947,74.8367,22.28,13.4146,31.5956,29.707,11.14,133.6799,31.192,0.0633,2693
17031140302,32.94653560089916,0.0,273.4893,9.852,12.6942,12.5707,19.704,4.926,17.4877,0.2463,0.1591,4060
17031140400,24.776013176335702,15.2237,100.8875,30.755,12.1564,2.2017,7.689,4.613,78.7329,8.4576,0.4542,6503
17031140500,24.28760689648304,28.1078,2.4357,26.079,12.5911,5.7208,14.489,8.693,93.8858,15.0681,0.1748,3451
17031140601,26.340764574841213,0.0,29.0132,31.434,11.8242,0.0,23.576,11.788,100.1965,21.2181,0.1094,2545
17031140602,30.077094927838687,13.8861,20.0952,9.919,6.0616,6.9396,15.87,5.951,58.3218,10.9105,0.1441,5041
17031140701,23.37359357184173,20.1149,31.6987,35.92,2.8859,23.0681,35.92,7.184,156.25,35.5603,0.0867,2784
17031140702,29.090241421365505,21.8609,16.526,14.453,1.2942,6.0132,19.874,3.613,80.5781,14.4535,0.1663,5535
17031140800,31.132667716273243,29.9106,159.0968,10.792,7.7045,7.1352,13.876,4.625,107.1539,16.0345,0.2803,6486
17031150200,25.683663168888287,29.3247,23.5779,49.771,4.0688,5.8264,5.381,2.69,115.8192,17.2182,0.5149,7434
17031150300,26.26941850365792,0.8427,107.9525,40.73,1.741,3.9347,8.427,2.809,54.073,3.6517,0.5083,7120
17031150401,21.66936228752315,0.8545,27.1557,46.999,1.3145,6.9955,10.681,4.273,55.1164,7.9043,0.2859,4681
17031150402,20.17355163956864,0.5221,149.5375,46.985,0.0,7.8493,15.662,5.221,57.9483,9.397,0.2548,3831
17031150501,21.05683292609176,0.5231,54.0831,28.773,0.0,7.4102,10.463,5.231,15.1713,0.2616,0.2699,3823
17031150502,22.85892674099237,0.4718,34.8597,42.463,0.0,7.5586,9.436,4.718,53.0786,7.549,0.2646,4239
17031150600,26.6357693940063,0.5152,127.8793,36.064,0.0,11.839,18.032,7.728,80.1133,8.7584,0.2534,3882
17031150700,21.52766373453215,0.0,185.685,22.578,0.0,7.8186,13.547,6.774,29.5778,1.8063,0.2558,4429
17031150800,21.75445447062467,23.455,4.6665,28.554,1.2872,11.7509,6.119,2.04,70.569,6.1187,0.2553,4903
17031151001,22.49056527319728,63.5369,2.9358,14.119,0.0,15.6986,10.589,3.53,34.2393,3.1768,0.1274,2833
17031151002,20.70533056229464,42.0663,49.1565,30.514,0.8895,8.1301,13.078,2.18,84.5684,8.5004,0.246,4588
17031151100,19.54754591778225,0.5837,36.3828,25.292,0.0,7.8401,9.728,3.891,56.4202,5.0584,0.2551,5140
17031151200,17.112473918478052,0.7732,36.5668,46.392,0.0,3.951,18.041,7.732,59.0206,9.0206,0.2531,3880
17031160100,28.90096900515749,80.6056,17.7216,24.55,11.7555,4.3687,8.183,8.183,110.8838,14.73,0.2289,2444
17031160200,23.44978971276835,65.2837,11.6186,33.557,6.1749,5.4215,15.253,9.152,115.6193,6.7114,0.3689,3278
17031160300,27.310792798693527,3.7145,49.8888,31.839,5.0988,0.0,13.266,5.306,80.1274,11.6742,0.1648,3769
17031160400,31.379595225712176,13.391,34.7456,26.782,4.7296,3.9401,18.541,4.12,101.5657,8.2406,0.2538,4854
17031160501,27.28333576000005,17.5533,0.0,24.305,1.3539,14.9477,24.305,5.401,51.3097,4.0508,0.1338,3703
17031160502,28.33029694870951,19.697,0.0,18.182,5.0753,8.3682,21.212,3.03,70.0,12.7273,0.1195,3300
17031160601,28.25646954235448,40.2367,439.7832,8.876,14.5298,7.9051,20.71,5.917,115.6805,8.8757,0.1265,3380
17031160602,30.280389059581324,56.8802,362.7505,22.982,11.1793,13.459,17.236,5.745,67.5093,13.5019,0.2229,3481
17031160700,26.353955795079937,20.1179,224.3231,20.812,9.8443,9.7529,13.874,3.469,55.1509,8.1512,0.3076,5766
17031160800,23.8750895035114,13.0078,21.5117,26.016,5.539,3.9401,14.008,2.001,82.8497,10.8065,0.2538,4997
17031160900,32.30486961549554,5.8091,51.6032,58.091,3.2034,3.9355,41.494,4.149,89.2116,10.3734,0.2541,2410
17031161000,29.39891395999545,7.3723,53.5529,57.925,3.5602,0.0,31.596,5.266,70.0369,9.4787,0.1646,1899
